岗位描述,技术栈
京东的推荐团队，承接京东商城全流量的个性化与推荐业务，拥有一支世界级水平并高速发展的工程师／科学家团队。现有团队多来自清华、北大、中科院等海内外名校，曾就职于雅虎、百度等一流技术公司。工程团队成员曾主导业界主流推荐系统的架构、开发，技术实力雄厚。团队气氛活跃，经常有内部技术分享和讨论，还会不定期邀请外部教授专家前来分享，内容包括架构、算法、科研等多个方面，使大家在工作的同时也能够提升自己的能力。推荐系统研发工程师： 1. 负责京东商城个性化推荐的系统设计、开发；2. 集成算法模型，建立特征数据计算同步管道，实现点对点的推荐调用接口；3. 实时数据处理，在线算法实现等；4. 推荐系统相关的特征、报表计算，数据分析等；职位要求： 1. 对数据结构和算法设计有较为深刻的理解 2. 熟悉java/c++等开发语言，至少精通其中一种2. 熟悉大规模高并发处理、分布式存储等互联网后端开发技术 3. 熟悉Hive/Hadoop/pig等大数据分析工具 4. 熟悉Shell/Python等脚本语言，善于分析日志，对数据有敏锐的洞察力 5. 良好的团队合作精神，较强的沟通能力；主动性强，有很强的自我驱动力 6. 有推荐，搜索或者广告相关工程实践经验优先7. 有大数据处理经验者优先8. 有流式计算工作经验者优先 以上说了这么多我们需要的”你”的职能职责，下面来说说我们所能提供给”你”的1. 工作地点，紧邻鸟巢水立方，每天都在旅游景区工作。周围商场、绿地环绕，外出就餐或订餐都选择众多，远离西二旗，远离著名堵点2. 领导十分以及特别nice，团队氛围很好3. 我司给员工的福利也是大大的商保，年假 双休不用多说。每天19点以后可在单位附近指定多家商户享用免费晚餐，21点以后可使用公司软件免费打车回家4. 行政，IT相关问题有专门服务热线为你分忧解难，免除你所有工作以外的后顾之忧,"技术栈：

1. Java
2. C++
3. Hive
4. Hadoop
5. Pig
6. Shell
7. Python"
岗位职责：1、参与大数据平台建设项目，协助推进项目相关事项；2、完成及完善运维部门的输出项目；3、参与项目自动化构建及其文档输出；4、处理工作的其他问题任职要求：1、2021年及以后毕业的在校生，统招本科及以上学历，计算机相关专业2、了解TCP/IP协议，HTTP协议3、熟练使用Linux，对操作系统有一定了解4、熟悉shell、Python、go等脚本语言中一种5、了解ansible、elk、等6、对大数据组件HDFS、hive、hbase、zk等了解优先7、实习时间6个月以上,"技术栈：

1. TCP/IP
2. HTTP
3. Linux
4. Shell
5. Python
6. Go
7. Ansible
8. ELK
9. HDFS
10. Hive
11. HBase
12. ZooKeeper"
岗位职责：1. 面向公司未来不断增长的大数据存储和计算需求，参与大数据存储和计算系统的核心功能组件的设计、开发和日常维护，包括HDFS、HBase、YARN、Hive、Spark、Flink、Trino、StarRocks、Kafka等，并参与大数据业务的平台化建设；2. 跟踪业界最新的大数据存储和计算技术，并结合公司的业务发展需要，对大数据存储和计算系统进行持续迭代优化。任职要求：1. 具备扎实的计算机操作系统和网络基础知识，了解分布式系统的设计原理和实现方法，了解大数据生态的关键技术；2. 熟练掌握Java/C++编程语言，具备扎实的数据结构基础知识，有良好的编程习惯；3. 有较强的学习能力，有良好的团队合作精神，善于沟通和交流。,"技术栈: 

1. 操作系统
2. 网络基础知识
3. 分布式系统
4. 大数据生态
5. Java
6. C++
7. 数据结构"
工作时间：不限工作时段：全周轮班结算方式：日结招聘截止时间：2024-05-141.工作内容2.工作要求3.公司规模等,没有技术栈信息，无法提取技术栈。
小米计算平台基础架构技术专家1）主要负责自研/开源的分布式框架/系统内核开发与维护2）工作方向不限于 RocketMQ / Yarn / DolphinScheduler / Spark / Flink / Iceberg / Presto / Kyuubi 等3）足够自驱,"技术栈: 

1. RocketMQ
2. Yarn
3. DolphinScheduler
4. Spark
5. Flink
6. Iceberg
7. Presto
8. Kyuubi"
职位描述1. 负责小米数据中台分布式存储与计算相关引擎的研发、维护和用户支持等工作；2. 参与开源，提高小米在开源社区的影响力。职位要求1. 扎实的计算机专业基础，熟悉基本的算法和数据结构 2. 具有良好的自我驱动和学习能力，责任心强，不断追求卓越 3. 具有优秀的发现问题和解决问题能力，对解决有挑战的问题充满热情 4. 具有优秀的沟通和协调能力，具有同理心，能够站在不同角度思考问题 5. 熟悉 Hadoop/Spark/Flink/Iceberg/Paimon/RocketMQ/DolphinScheduler/Doris 等相关系统优先，开源社区活跃贡献者优先,"技术栈: 

1. Hadoop
2. Spark
3. Flink
4. Iceberg
5. Paimon
6. RocketMQ
7. DolphinScheduler
8. Doris"
1、五年以上大数据技术实战经验，能够承担一整套大数据平台的架构设计；2、精通Hadoop，熟悉 Hadoop 核心代码（阅读过 HBase 核心代码者优先）；精通大数据相关框架和组件，如Hadoop（HDFS、YARN）、Hive、Spark、Storm、Zookeeper、Kafka等原理，使用和应用场景，熟悉CDH或HDP框架；3、研究过Spark(Streaming/MLlib)、Hadoop、Hbase、YARN、Flume、Kafka等源代码者优先；4、有作为技术负责人系统化解决问题的成功案例；有海量数据实践经验优先；5、能够开发创新而实际的分析方法以解决复杂的商业问题6、有互联网金融项目或银行业项目经验优先7、能接受短期出差,"技术栈:

1. Hadoop
2. Hive
3. Spark
4. Storm
5. Zookeeper
6. Kafka"
工作职责-公司核心业务的日志平台、trace平台、离线资源治理平台建设-负责数据治理、端到端数据通路、实时/数仓建设，提升数据研发效率-系统性能优化、持续提升系统在大规模分布式系统环境下，海量数据的处理能力，保证系统的稳定、快速运行工作要求-计算机软件或相关专业本科以上学历-精通C++/Java/php/golang的一种或多种，精通网络编程、多线程编程-熟悉常用的数据结构和算法-有Elasticsearch、Hadoop、Spark、Flink、Hbase、Clickhouse等大数据处理经验优先-有机器学习相关经验优先-具备优秀的逻辑思维能力，对解决挑战性问题充满热情，善于解决问题和分析问题-有强烈的上进心和求知欲，善于学习新事物，渴望用技术改变未来-良好的团队合作精神，较强的沟通能力和学习能力,"技术栈: 

1. C++
2. Java
3. PHP
4. Golang
5. Elasticsearch
6. Hadoop
7. Spark
8. Flink
9. Hbase
10. Clickhouse"
岗位职责：1、负责集团级实时/离线/调度等数据计算平台建设；2、负责集团级公共基础数据流、公共平台的研发；3、参与海量数据处理和高性能分布式计算的架构设计，负责数据处理流程的设计和代码开发，撰写相关文档；4、设计及研发PaaS平台的关键组件；5、负责研发资源调度框架、数据库、缓存、存储、检索等相关中间件的二次开发优化工作；6、参与集群运维工作，支持Hadoop集群底座的运维故障分析、解决、性能优化；任职要求：1.本科及以上学历，通信/计算机等相关专业。2、熟悉大数据相关组件二次开发、搭建、应用、优化，如：Hadoop/Spark/Yarn/Hive/Kafka/Hbase/Kerberos/Flink/Mysql等。3、有容器化和对象存储经验者优先。4、扎实的计算机基础，掌握常用的数据结构及算法，熟练掌握Java/Golang/Scala/Python中的一项或多项；5、愿意承担部分运维职责，熟悉Apache Hadoop部署、性能调优。6、能阅读/理解Hadoop等相关开源组件源码。7、较强的人际关系能力，有团队精神、较强的执行与推动能力，有一定抗压力。,"技术栈：

1. Hadoop
2. Spark
3. Yarn
4. Hive
5. Kafka
6. Hbase
7. Kerberos
8. Flink
9. Mysql
10. Java
11. Golang
12. Scala
13. Python
14. Apache Hadoop"
"岗位职责：1、参与Qlik系统项目需求分析、设计、开发工作 2、负责Qlik系统从JD数据集市的数据抽取的实现 3、负责Hadoop/HBase集群的大规模、高可用和稳定性开发工作任职要求： 1.责任心强，良好团队协作精神，很强的分析问题和解决问题的能力；2.统招本科及以上学历，计算机、数学、统计学等相关专业，3年以上大数据相关工作经验；3.精通Hadoop/Hive/Spark/Hbase/Druid/Impala其中的一种或几种，有分布式系统实际开发经验者优先；4.精通Java/Python/PHP等其中的一种或几种编程语言；5.熟悉主流开发框架,SSH,Spring MVC,Spring Boot,Mybatis,MQ,JPA等；6.熟悉MySQL、Oracle至少一种关系型数据库，以及PostgreSQL数据库","技术栈：

1. Hadoop
2. Hive
3. Spark
4. Hbase
5. Druid
6. Impala
7. Java
8. Python
9. PHP
10. SSH
11. Spring MVC
12. Spring Boot
13. Mybatis
14. MQ
15. JPA
16. MySQL
17. Oracle
18. PostgreSQL"
"岗位职责：1.基于storm、spark streaming或flink计算框架，根据公司业务需求设计实时计算应用。2.为公司已成型的产品做持续地迭代优化。任职资格:1. 2至3年java开发经验，具备扎实的程序设计基本功和学习能力2.精通storm、spark streaming或flink计算框架，能够进行流计算应用开发，熟悉实时数据分析上下游生态系统或周边相关技术, 包括但不限于hadoop、yarn、storm、spark streaming和flink等相关技术3.有两年以上的实际Storm、spark集群维护,系统优化和应用开发经验. 对性能,稳定性等有实际经验；4. 熟悉Redis数据结构，并有实际应用经验5. 熟悉kafka理论及工作原理，并有实际应用经验6. 熟悉Linux/Unix平台上的开发环境；7. 有强烈责任心,认真负责,积极主动的解决问题","技术栈:

1. Java
2. Storm
3. Spark Streaming
4. Flink
5. Redis
6. Kafka
7. Linux/Unix"
岗位职责：1.搭建基于Hadoop/HBASE/SPARK的大数据平台；2.管理Hadoop/SPARK集群运行，稳定提供平台服务；3.解决Hadoop/SPARK开发中技术难点。4.解决实时计算相关问题，并根据业务场景设计实时计算流程架构并开发相关计算逻辑。任职资格:1.3年以上Hadoop及大数据生态圈实践经验，如Kafka/HBase/Impala/YARN/Spark等，且对于spark streaming、storm等实时计算框架熟悉2.深入了解分布式系统、大数据平台等高可用高弹性架构3.有数据仓库项目经验，了解数据仓库相关理论知识；4.有ETL工具、Kettle的项目使用经验。5.熟悉Linux系统，具备shell、python等脚本开发能力 6.强烈的责任心和自我驱动意识，具备独立解决问题的能力7.良好的团队合作精神和沟通能力,"技术栈：

1. Hadoop
2. Kafka
3. HBase
4. Impala
5. YARN
6. Spark
7. Spark Streaming
8. Storm
9. ETL
10. Kettle
11. Linux
12. Shell
13. Python"
1.负责大数据平台规划、部署、优化和维护，保证平台稳定可靠高效运行、熟练掌握并使用cdh、hdp、华为云等大数据管理平台2.熟练掌握hadoop、hive、hbase、spark、kafka、es、oozie、azkaban、flink等分布式组件的工作原理及应用场景，能够独立应用相关组件独立开发项目3.深入理解大数据平台架构以及适用场景，有较强的自主分析解决问题的能力4.熟练使用java、python、scala、shell等开发语言5.深入理解mysql、oracle任一数据库存储原理、有较强的sql能力6.熟悉linux环境，有过服务器运维经验者优先7.从事过spark mlib、spark graphx、neo4j、tigergraph、kudu、impala、Phoenix、tez相关项目开发者优先8. 有过真实日增TB级数据量项目开发经验者优先9. 有过两年以上后端开发经验者优先,"技术栈:

1. Hadoop
2. Hive
3. HBase
4. Spark
5. Kafka
6. Elasticsearch (ES)
7. Oozie
8. Azkaban
9. Flink
10. Java
11. Python
12. Scala
13. Shell
14. MySQL
15. Oracle
16. Spark MLlib
17. Spark GraphX
18. Neo4j
19. TigerGraph
20. Kudu
21. Impala
22. Phoenix
23. Tez
24. Linux"
大数据开发工程师职位描述岗位职责：1、参与数据模型体系构建及数据主题设计和开发，搭建离线、实时数据公共层；2、参与数据产品与应用的数据研发，发掘数据商业价值，打造极致体验的数据产品；3、深入理解数据产品的使用场景，为业务方在可用性、成本上做更好的设计做参考。 任职要求：1、熟悉数据仓库建模理论，3年以上相关领域实践经验；2、熟悉Hadoop、Hive、Spark等大数据技术；3、熟练使用Python/Java或其他语言进行复杂业务逻辑的数据处理工作，具备海量数据处理以及性能优化的能力；4、熟练MySQL、Redis、HBase等数据库有一定的了解和使用经验；5、熟练kylin等OLAP引擎；6、思路清晰，具备良好的沟通能力和理解能力，较强的学习能力以及快速解决问题的能力；7、对新技术，新事物有很好的探索和求知欲。,"技术栈：

1. 数据仓库建模理论
2. Hadoop
3. Hive
4. Spark
5. Python
6. Java
7. MySQL
8. Redis
9. HBase
10. Kylin"
1.搭建基于Hadoop/HBASE/SPARK的大数据平台；2.管理Hadoop/SPARK集群运行，稳定提供平台服务；3.解决Hadoop/SPARK开发中技术难点。4.解决实时计算相关问题，并根据业务场景设计实时计算流程架构并开发相关计算逻辑。,"技术栈: 

1. Hadoop
2. HBASE
3. SPARK"
岗位职责：1. 面向公司未来不断增长的大数据存储和计算需求，设计和实现具备大规模横向扩展能力的Hadoop存储和计算系统，支持在IDC环境下多机房、多集群部署，同时支持IDC环境与云上环境联动并在业务高峰期和低谷期进行灵活地弹性伸缩；2. 在保障线上业务稳定运行的情况下，设计和实现Hadoop系统的业务迁移方案，完成新老系统的平滑过渡；3. 跟踪业界最新的大数据存储和计算技术，并结合公司的业务发展需要，对Hadoop系统进行持续迭代优化。任职要求：1. 具备扎实的计算机操作系统和网络基础知识，熟练掌握分布式系统的设计原理和实现方法，熟悉Hadoop生态的关键技术；2. 具有Apache社区版Hadoop系统的优化和维护实践经验，同时熟悉CDH或HDP更佳，掌握HDFS、YARN、MapReduce、Spark、Hive、HBase、Kafka等一种或者多种基础组件的内部实现原理并熟悉源码；3. 熟练掌握Java编程语言，有用Java参与大型项目开发的实践经验，同时熟悉C/C++编程语言者更佳；4. 有较强的学习能力，有良好的团队合作精神，善于沟通和交流。,"技术栈:

1. 操作系统
2. 网络基础知识
3. Hadoop
4. Apache Hadoop
5. CDH
6. HDP
7. HDFS
8. YARN
9. MapReduce
10. Spark
11. Hive
12. HBase
13. Kafka
14. Java
15. C/C++"
"岗位职责： * 结合Boss直聘的高流量业务场景，融合开发大数据的离线计算和实时计算的架构；* 打造适合机器学习和深度学习的商业推荐算法平台；* 能够支持推荐算法的快速开发，效果分析和快速迭代，提升迭代效率。 岗位要求： * 2年以上离线系统研发经验，3年以上Java开发经验 * 具备扎实的计算机理论基础, 对数据结构及算法有较强的功底 * 精通Java语言编程，具备优秀的系统Debug/Profiling/多线程等能力和经验 * 熟悉常见的面向对象设计模式，具备优秀的系统架构设计能力 * 熟悉Hadoop/HBase/Flink/Spark/Storm等开源大数据技术，至少熟悉其中一种，在开源社区活跃者优先 * 具有大规模Hadoop集群运维管理经验者优先 * 具备良好的软件工程研发素质、极限编程以及敏捷开发经验者优先 薪资范围：30~60k/月（执行保底16薪计划，A级可以拿24薪）+ 丰厚期权","技术栈:

1. Java
2. Hadoop
3. HBase
4. Flink
5. Spark
6. Storm"
针对不同项目上的需求对数据进行提取摘录分析、建模质检、入库处理并进行风险评估,"技术栈: 

1. Python
2. pandas
3. NumPy
4. scikit-learn
5. TensorFlow 或 PyTorch
6. 数据库管理系统（DBMS）如 MySQL 或 PostgreSQL
7. 数据可视化工具如 Tableau 或 Power BI"
工作职责1、主导大数据分析平台的规划和建设2、协助相关业务数据服务接口的制定3、负责大数据处理分析平台的服务框架的设计与开发要求：1. 重点本科或以上学历，计算机、数学、通信等相关专业；2. 有海量数据处理和并行计算开发经验者，熟悉 Hadoop生态，有实际大数据项目经验；3. 扎实的数据结构及算法功底，优秀的工程实现能力；4. 了解并掌握MySQL/Hive/Spark的使用；5. 精通设计模式、设计原则、面向对象编程开发，精通可扩展分布式编程经验；6. 优秀的分析问题解决问题能力、学习能力、团队合作意识；加分项： 1. 推荐系统、算法调优经验 2. 有海量大数据开发经验 3. 有 Hadoop/Spark/HBase/Kafka/Storm/Lucene/Elasticsearch 深入源代码分析经验 4. 熟悉机器学习、数据挖掘、分布式计算,"技术栈：

1. Hadoop
2. MySQL
3. Hive
4. Spark
5. HBase
6. Kafka
7. Storm
8. Lucene
9. Elasticsearch"
岗位职责：1、对运营给出的指标进行分析，筛选和建立；2、从大数据中挖掘运营业务的本质，提出新的模型；3、利用数据挖掘来对公司的相关产品做出改进，如分析等；4、不断挖掘新的数据并据此产生创新的应用；5、应用先进的统计建模、数据挖掘、机器学习方法建立数据模型解决实际问题，并研发创新方法以解决常规算法不能解决的问题；任职要求：1、计算机及相关专业，本科及本科以上学历，5年以上工作经验；2、熟悉常用报表/图表开发工具；3、5年以上数据分析及建模相关经验，熟悉建模、数据挖掘、机器学习；4、熟悉回归、分类、聚类、决策树算法；5、掌握Python、SPARK、SQL中至少1-2种工具方法，熟悉JAVA、Hadoop、NoSQL更佳,"技术栈:

1. 报表/图表开发工具
2. Python
3. SPARK
4. SQL
5. JAVA
6. Hadoop
7. NoSQL
8. 机器学习算法（回归、分类、聚类、决策树）"
"Responsible Tencent(Cloud) Hadoop Installation and deployment and ProvisioningShould have strong knowledge of Big data streaming applications in Tencent CloudHelp production deploy/scripting.Hadoop AdminHadoop SecurityNot responsible for development or bug fixing in code but should be able to understand the related code.In Case of failure, should be able to locate the exception in the code.Tencent EMR Ozzie and Zookeeper","技术栈: 

1. Hadoop
2. 腾讯云
3. 大数据流应用
4. 腾讯EMR
5. Ozzie
6. Zookeeper"
Python后端开发，熟悉微服务架构，高并发处理，分布式体系,"技术栈: 

1. Python
2. 微服务架构
3. 高并发处理技术（如：多线程、异步编程、队列等）
4. 分布式系统相关技术（如：分布式数据库、消息队列、负载均衡等）"
"大数据工程师（Spark/Hadoop）主要职责：1. 构建分布式大数据服务平台，参与构建公司海量数据存储、实时查询系统；2. 负责Hadoop集群稳定和推广,为业务应用提供平台级支持和服务；3. 深入Hadoop源码内核改进优化开源项目，解决各种Hadoop线上问题，参与到开源社区建设和代码贡献 岗位要求：1. 计算机或相关专业本科以上学历（3年以上工作经验）; 2. 熟悉C++/Java/Scala程序开发(至少一种)，熟悉Linux/Unix开发环境; 3. 熟悉HBase分布式项目及工作原理，有HBase底层源码贡献或阅读者优先; 4. 有大规模分布式系统开发、维护经验，有故障处理能力; 5. 具有良好的沟通协作能力，具有较强的分享精神；6. 对Spark\Hive\Oozie\等系统有深入使用和底层研究者加分","技术栈: 

1. C++
2. Java
3. Scala
4. Linux
5. Unix
6. HBase
7. Spark
8. Hive
9. Oozie"
京东的推荐团队，承接京东商城全流量的个性化与推荐业务，拥有一支世界级水平并高速发展的工程师／科学家团队。现有团队多来自清华、北大、中科院等海内外名校，曾就职于雅虎、百度等一流技术公司。工程团队成员曾主导业界主流推荐系统的架构、开发，技术实力雄厚。团队气氛活跃，经常有内部技术分享和讨论，还会不定期邀请外部教授专家前来分享，内容包括架构、算法、科研等多个方面，使大家在工作的同时也能够提升自己的能力。推荐系统研发工程师： 1. 负责京东商城个性化推荐的系统设计、开发；2. 集成算法模型，建立特征数据计算同步管道，实现点对点的推荐调用接口；3. 实时数据处理，在线算法实现等；4. 推荐系统相关的特征、报表计算，数据分析等；职位要求： 1. 对数据结构和算法设计有较为深刻的理解 2. 熟悉java/c++等开发语言，至少精通其中一种2. 熟悉大规模高并发处理、分布式存储等互联网后端开发技术 3. 熟悉Hive/Hadoop/pig等大数据分析工具 4. 熟悉Shell/Python等脚本语言，善于分析日志，对数据有敏锐的洞察力 5. 良好的团队合作精神，较强的沟通能力；主动性强，有很强的自我驱动力 6. 有推荐，搜索或者广告相关工程实践经验优先7. 有大数据处理经验者优先8. 有流式计算工作经验者优先 以上说了这么多我们需要的”你”的职能职责，下面来说说我们所能提供给”你”的1. 工作地点，紧邻鸟巢水立方，每天都在旅游景区工作。周围商场、绿地环绕，外出就餐或订餐都选择众多，远离西二旗，远离著名堵点2. 领导十分以及特别nice，团队氛围很好3. 我司给员工的福利也是大大的商保，年假 双休不用多说。每天19点以后可在单位附近指定多家商户享用免费晚餐，21点以后可使用公司软件免费打车回家4. 行政，IT相关问题有专门服务热线为你分忧解难，免除你所有工作以外的后顾之忧,"技术栈：

1. Java
2. C++
3. Hive
4. Hadoop
5. Pig
6. Shell
7. Python"
岗位职责:1、依据不同业务线独立开发RPA脚本，研究如何提高业务端的效率，保证RPA与业务端的结合。2、负责编写爬虫脚本进行薪资调研&活跃度调研为业务提供数据支持，保障项目的正常进行。3、熟练掌握Python语言，负责数据的抓取、清洗、消重等工作，提升平台的抓取效率。4、熟练MySql数据库，能够进行数据库的增、删、改、查操作。5、负责实时监控数据的进度和警报反馈。任职要求：1、熟悉RPA，可熟练掌握Mysql、Python；2、具备较强的逻辑分析能力和学习能力；2、具备高度的责任感，有较强的学习能力；3、熟悉“影刀”者优先优先。福利待遇：1、薪资:无责底薪+绩效奖金+目标奖金+单项奖+年终奖2、福利:五险一金+年终奖+定期下午茶+生日会+团建活动3、团队:专业、氛围好、团结、环境好4、成长:完善的内部培训体系，提供个人成长空间,"技术栈: 

1. RPA
2. Mysql
3. Python"
"负责公司的大数据处理框架的研发设计工作，需要熟练掌握java编程语言, 有hadoop和spark实际开发经验者优先。","技术栈: 

1. Java
2. Hadoop
3. Spark"
"HBase资深大数据工程师（HBase/Hadoop/TiDB）主要职责：1. 构建分布式大数据服务平台，参与构建公司海量数据存储、实时查询系统；2. 负责HBase/Phoenix集群稳定和推广,为业务应用提供平台级支持和服务；3. 深入HBase/Phoenix源码内核改进优化开源项目，解决各种HBase线上问题，参与到开源社区建设和代码贡献 岗位要求： 1. 计算机或相关专业本科以上学历（3年以上工作经验）; 2. 精通C++/Java/Scala程序开发(至少一种)，熟悉Linux/Unix开发环境; 3. 熟悉HBase分布式项目及工作原理，有HBase底层源码贡献或阅读者优先; 4. 有大规模分布式系统开发、维护经验，有故障处理能力; 5. 具有良好的沟通协作能力，具有较强的分享精神；6. 对Phoenix、OpenTSDB、GeoMesa、Kylin、Janusgraph等系统有深入使用和底层研究者加分","技术栈：

1. C++
2. Java
3. Scala
4. Linux
5. Unix
6. HBase
7. Phoenix
8. OpenTSDB
9. GeoMesa
10. Kylin
11. Janusgraph"
工作周期：长期兼职每周工期：无要求工作时间：不限工作时段：不限结算方式：月结招聘截止时间：2024-04-031、线上答疑不坐班。2、必备要求：（1）熟练使用Python、C++，有Python项目经验者优先。（2）能快速回复孩子的问题（最长不超过0.5小时），五句话孩子理解不了，要通过腾讯会议视频给他答疑。（3）答疑时能够全身心投入。（4）表达能力强、有耐心、有责任心。（5）能长期兼职，不招短期，不招短期！ 3、加分项：会Scratch图形化编程（或愿意学习Scratch，特别简单）。 4、工作内容：（1）给小学、初中孩子答疑；（2）催交作业。4、工作方式：不坐班，线上答疑（有问就答，孩子的问题简单，并没有那么多）。5、工作时间：每月只工作0.5个月，和另外一个同事轮班，具体怎么轮班，可自由协商。6、待遇：（1）寒暑假、周六日110元/天；（2）其他时间62元/天；（3）通过你续费，提成5%；特别说明：不接电话，不参与开会 ，沟通不回复，经常性很久才回复，沟通不畅，勿扰！！,"技术栈: 

1. Python
2. C++"
岗位职责：1.搭建基于Hadoop/HBASE/SPARK的大数据平台；2.管理Hadoop/SPARK集群运行，稳定提供平台服务；3.解决Hadoop/SPARK开发中技术难点。4.解决实时计算相关问题，并根据业务场景设计实时计算流程架构并开发相关计算逻辑。任职资格:1.3年以上Hadoop及大数据生态圈实践经验，如Kafka/HBase/Impala/YARN/Spark等，且对于spark streaming、storm等实时计算框架熟悉2.深入了解分布式系统、大数据平台等高可用高弹性架构3.有数据仓库项目经验，了解数据仓库相关理论知识；4.有ETL工具、Kettle的项目使用经验。5.熟悉Linux系统，具备shell、python等脚本开发能力 6.强烈的责任心和自我驱动意识，具备独立解决问题的能力7.良好的团队合作精神和沟通能力,"技术栈：

1. Hadoop
2. Kafka
3. HBase
4. Impala
5. YARN
6. Spark
7. Spark Streaming
8. Storm
9. ETL
10. Kettle
11. Linux
12. Shell
13. Python"
【京东】 京东工业品-大数据开发工程师工作地点: 北京市亦庄区经济技术开发区京东大厦4号楼职位要求:基于大数据技术对京东工业的商品数据、标品数据进行接入、转换、加工、校验、匹配等工作，并实现数据处理全流程工具化，线上化，自动化。技术要求:1、熟练使用 python ，并了解常用数据处理工具如 pandas、numpy 等2、熟练使用spark，并了解Hadoop生态体系下的其它相关技术，如hdfs、hive、hbase、yarn等3、熟悉 python 爬虫技术4、了解 elasticsearch，redis，kafka 等常用非关系型数据库和消息中间件技术其他要求:喜欢编程，做事有韧劲，有团队精神团队介绍:京东工业品作为京东集团旗下独立子公司，业务的发展突飞猛进。工业品不同于其它品类，对于商品属性的描述要非常的精确且完整，通过收集，加工，对比，校验等一系列手段来提升数据的质量，以更好的满足B端客户的购买需求，而这也是京东工业品的业务基础。我们团队正是肩负着这样的使命，借助于大数据及人工智能技术不断提升工业品标品的数量及质量。团队氛围开放，处事简单，创业型团队，希望您的加入。,"技术栈: 

1. Python
2. Pandas
3. Numpy
4. Spark
5. Hadoop
6. HDFS
7. Hive
8. HBase
9. Yarn
10. Elasticsearch
11. Redis
12. Kafka"
职责描述：1、负责消息中间件的内核开发与优化工作，提升Kafka在多机房/多云架构下的容灾能力、流量调度和集群迁移能力，保障服务的稳定和高效；2、参与Kafka的日常运维，并且能通过技术手段不断优化提升自动化运维水平，让更多力量能用在核心项目的攻坚落地；3、负责消息管道平台的架构、设计以及研发落地，提供一站式集群搭建、维护、监控、权限控制以及数据安全等消息服务。任职要求：1. 本科及以上学历，2年以上开发经验；2. 熟练掌握Java/Scala/C++一种或多种语言；3. 具备扎实的操作系统、网络、数据结构和算法能力；4. 熟悉Kafka/RocketMQ/Pulsar 等消息产品的底层原理，具有1年以上相关开发经验。加分项：1. 热爱技术，参与过一个或多个开源项目的研发工作，对开源社区有贡献；2. 熟悉消息外其他基础架构或组件的原理，对基础研发有自己的理解和认识。,"技术栈: 

1. Java
2. Scala
3. C++
4. Kafka
5. RocketMQ
6. Pulsar"
京东的推荐团队，承接京东商城全流量的个性化与推荐业务，拥有一支世界级水平并高速发展的工程师／科学家团队。现有团队多来自清华、北大、中科院等海内外名校，曾就职于雅虎、百度等一流技术公司。工程团队成员曾主导业界主流推荐系统的架构、开发，技术实力雄厚。团队气氛活跃，经常有内部技术分享和讨论，还会不定期邀请外部教授专家前来分享，内容包括架构、算法、科研等多个方面，使大家在工作的同时也能够提升自己的能力。推荐系统研发工程师： 1. 负责京东商城个性化推荐的系统设计、开发；2. 集成算法模型，建立特征数据计算同步管道，实现点对点的推荐调用接口；3. 实时数据处理，在线算法实现等；4. 推荐系统相关的特征、报表计算，数据分析等；职位要求： 1. 对数据结构和算法设计有较为深刻的理解 2. 熟悉java/c++等开发语言，至少精通其中一种2. 熟悉大规模高并发处理、分布式存储等互联网后端开发技术 3. 熟悉Hive/Hadoop/pig/flink/Storm等大数据分析工具 4. 熟悉Shell/Python等脚本语言，善于分析日志，对数据有敏锐的洞察力 5. 良好的团队合作精神，较强的沟通能力；主动性强，有很强的自我驱动力 6. 有推荐，搜索或者广告相关工程实践经验优先7. 有大数据处理经验者优先8. 有流式计算工作经验者优先 以上说了这么多我们需要的”你”的职能职责，下面来说说我们所能提供给”你”的1. 工作地点，紧邻鸟巢水立方，每天都在旅游景区工作。周围商场、绿地环绕，外出就餐或订餐都选择众多，远离西二旗，远离著名堵点2. 领导十分以及特别nice，团队氛围很好3. 我司给员工的福利也是大大的商保，年假 双休不用多说。每天19点以后可在单位附近指定多家商户享用免费晚餐，21点以后可使用公司软件免费打车回家4. 行政，IT相关问题有专门服务热线为你分忧解难，免除你所有工作以外的后顾之忧,"技术栈：

1. Java
2. C++
3. Hive
4. Hadoop
5. Pig
6. Flink
7. Storm
8. Shell
9. Python"
工作职责： 1.负责京东商城大数据平台建设、运营、管控；2.负责京东商城各业务条线或子公司的大数据和大数据平台相关需求对接；3.负责京东商城各个数据集市的建设管理，为业务条线提供大数据平台数据解决方案；4.负责设计开发大数据平台运营监控数据分析模型，对大数据平台与集群进行健康度管控；任职资格： 1.本科以上学历，计算机、数据统计分析、软件工程相关专业优先；2.具备良好的数据洞察力、逻辑分析能力、组织沟通能力和团队精神；3.熟悉java，python等语言；熟悉linux系统；有Hadoop生态圈hive、pig、spark、storm等应用开发经验者优先；4.了解电商业务，有BI、数据仓库建设、数据模型设计开发、大数据平台建设运营工作经验者优先,"技术栈：

1. Java
2. Python
3. Linux
4. Hadoop
5. Hive
6. Pig
7. Spark
8. Storm"
